character,word_count,image
Homer,278537.0,https://img.icons8.com/doodle/48/homer-simpson.png
Marge,127189.0,https://img.icons8.com/doodle/48/marge-simpson.png
Bart,112605.0,https://img.icons8.com/doodle/48/bart-simpson.png
Lisa,101793.0,https://img.icons8.com/doodle/48/lisa-simpson.png
Mr. Burns,37713.0,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
Moe,34260.0,https://img.icons8.com/doodle/48/bartender-mo.png
Flanders,26918.0,https://img.icons8.com/doodle/48/ned-flanders.png
Krusty,21607.0,https://img.icons8.com/doodle/48/krusty-the-clown.png
Chief Wiggum,20910.0,https://img.icons8.com/doodle/48/clancy-wiggum.png
Grampa,20541.0,https://img.icons8.com/doodle/48/abraham-simpson.png
Brockman,16538.0,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
Milhouse,15696.0,https://img.icons8.com/doodle/48/milhouse-van-houten.png
Apu,11838.0,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
Lenny,10270.0,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
Smithers,9762.0,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
Nelson,8836.0,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
Dr. Hibbert,7950.0,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
Edna Krabappel,7820.0,https://static.simpsonswiki.com/images/1/14/Tapped_Out_Mrs._Krabappel_Icon.png
Carl,7518.0,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
Rev. Lovejoy,7045.0,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
Sideshow Bob,6462.0,https://static.simpsonswiki.com/images/6/68/Tapped_Out_Sideshow_Bob_Icon_-_Serious.png
Mayor Quimby,6340.0,https://static.simpsonswiki.com/images/e/e3/Tapped_Out_Quimby_Icon.png
Comic Book Guy,5932.0,https://static.simpsonswiki.com/images/a/a9/Tapped_Out_Comic_Book_Guy_Icon.png
Chalmers,5767.0,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
Professor Frink,5384.0,https://static.simpsonswiki.com/images/0/09/Tapped_Out_Professor_Frink_Icon_-_Deadpan.png
Groundskeeper Willie,5086.0,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
Selma,5067.0,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
Barney,4647.0,https://img.icons8.com/doodle/48/barney-gumble.png
Patty,3910.0,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
Martin Prince,3845.0,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
Lou,3728.0,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
Otto,3615.0,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
Sideshow Mel,3391.0,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
Fat Tony,3108.0,https://static.simpsonswiki.com/images/1/1b/Tapped_Out_Fat_Tony_Icon.png
Ralph,3104.0,https://img.icons8.com/doodle/48/ralf.png
Jimbo,2760.0,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
Kirk,2514.0,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
Agnes Skinner,2478.0,https://static.simpsonswiki.com/images/b/b1/Tapped_Out_Agnes_Sidebar.png
Cletus,2401.0,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
Duffman,992.0,https://static.simpsonswiki.com/images/1/18/Tapped_Out_Duffman_Icon.png
