season,character,count,count_type,image
1,Apu,6.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
1,Bart,655.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
1,Chief Wiggum,10.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
1,Flanders,15.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
1,Grampa,22.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
1,Homer,817.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
1,Krusty,43.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
1,Lenny,7.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
1,Lisa,271.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
1,Marge,435.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
1,Milhouse,23.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,Moe,39.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
1,Mr. Burns,52.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
2,Apu,15.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
2,Bart,760.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
2,Chief Wiggum,1.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
2,Flanders,112.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
2,Grampa,191.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
2,Homer,1429.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
2,Krusty,22.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
2,Lenny,11.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
2,Lisa,422.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
2,Marge,676.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
2,Milhouse,47.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
2,Moe,33.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
2,Mr. Burns,270.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
3,Apu,40.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
3,Bart,735.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
3,Chief Wiggum,64.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
3,Flanders,112.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
3,Grampa,16.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
3,Homer,1357.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
3,Krusty,110.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
3,Lenny,29.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
3,Lisa,400.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
3,Marge,561.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
3,Milhouse,72.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
3,Moe,132.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
3,Mr. Burns,244.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
4,Apu,40.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
4,Bart,552.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
4,Chief Wiggum,71.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
4,Flanders,104.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
4,Grampa,109.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
4,Homer,1108.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
4,Krusty,155.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
4,Lenny,23.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
4,Lisa,379.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
4,Marge,509.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
4,Milhouse,23.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
4,Moe,40.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
4,Mr. Burns,116.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
5,Apu,111.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
5,Bart,511.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
5,Chief Wiggum,83.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
5,Flanders,150.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
5,Grampa,129.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
5,Homer,1183.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
5,Krusty,51.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
5,Lenny,28.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
5,Lisa,302.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
5,Marge,385.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
5,Milhouse,56.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
5,Moe,61.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
5,Mr. Burns,230.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
6,Apu,16.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
6,Bart,670.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
6,Chief Wiggum,59.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
6,Flanders,75.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
6,Grampa,118.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
6,Homer,1050.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
6,Krusty,73.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
6,Lenny,35.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
6,Lisa,558.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
6,Marge,623.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
6,Milhouse,82.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
6,Moe,87.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
6,Mr. Burns,126.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
7,Apu,100.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
7,Bart,593.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
7,Chief Wiggum,103.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
7,Flanders,121.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
7,Grampa,122.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
7,Homer,916.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
7,Krusty,78.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
7,Lenny,15.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
7,Lisa,523.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
7,Marge,439.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
7,Milhouse,131.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
7,Moe,92.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
7,Mr. Burns,246.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
8,Apu,17.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
8,Bart,542.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
8,Chief Wiggum,127.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
8,Flanders,153.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
8,Grampa,52.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
8,Homer,1046.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
8,Krusty,50.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
