season,number_in_season,episode_id,character,sentence_count
1,1,1,Barney,9
1,1,1,Bart,49
1,1,1,Flanders,10
1,1,1,Grampa,2
1,1,1,Homer,113
1,1,1,Lisa,21
1,1,1,Marge,42
1,1,1,Milhouse,2
1,1,1,Moe,2
1,1,1,Mr. Burns,3
1,1,1,Patty,16
1,1,1,Selma,8
1,1,1,Smithers,2
1,2,2,Bart,81
1,2,2,Edna Krabappel,8
1,2,2,Homer,55
1,2,2,Lisa,10
1,2,2,Marge,23
1,2,2,Martin Prince,10
1,2,2,Milhouse,2
1,3,3,Bart,32
1,3,3,Chief Wiggum,1
1,3,3,Edna Krabappel,14
1,3,3,Homer,58
1,3,3,Lisa,11
1,3,3,Marge,13
1,3,3,Moe,8
1,3,3,Mr. Burns,13
1,3,3,Otto,5
1,3,3,Smithers,8
1,4,4,Barney,2
1,4,4,Bart,42
1,4,4,Homer,80
1,4,4,Lisa,35
1,4,4,Lou,2
1,4,4,Marge,40
1,4,4,Moe,4
1,4,4,Mr. Burns,18
1,4,4,Smithers,9
1,5,5,Bart,101
1,5,5,Grampa,19
1,5,5,Homer,32
1,5,5,Lisa,28
1,5,5,Marge,16
1,5,5,Milhouse,5
1,5,5,Nelson,17
1,5,5,Otto,4
1,6,6,Bart,44
1,6,6,Homer,59
1,6,6,Lisa,44
1,6,6,Marge,28
1,6,6,Moe,4
1,6,6,Ralph,2
1,7,7,Bart,37
1,7,7,Flanders,5
1,7,7,Homer,92
1,7,7,Lisa,16
1,7,7,Marge,24
1,8,8,Barney,3
1,8,8,Bart,66
1,8,8,Chief Wiggum,1
1,8,8,Edna Krabappel,1
1,8,8,Grampa,1
1,8,8,Homer,48
1,8,8,Jimbo,21
1,8,8,Krusty,6
1,8,8,Lisa,8
1,8,8,Marge,26
1,8,8,Milhouse,1
1,8,8,Moe,3
1,8,8,Mr. Burns,5
1,8,8,Otto,1
1,8,8,Rev. Lovejoy,4
1,8,8,Smithers,2
1,9,9,Bart,33
1,9,9,Homer,52
1,9,9,Lenny,3
1,9,9,Lisa,25
1,9,9,Marge,94
1,9,9,Patty,9
1,9,9,Selma,6
1,10,10,Barney,8
1,10,10,Bart,40
1,10,10,Carl,4
1,10,10,Homer,70
1,10,10,Lenny,2
1,10,10,Lisa,9
1,10,10,Marge,33
1,10,10,Martin Prince,5
1,10,10,Milhouse,9
1,10,10,Moe,2
1,10,10,Mr. Burns,13
1,10,10,Rev. Lovejoy,1
1,10,10,Smithers,5
1,11,11,Agnes Skinner,7
1,11,11,Bart,50
1,11,11,Homer,65
1,11,11,Lenny,2
1,11,11,Lisa,15
1,11,11,Marge,39
1,11,11,Milhouse,4
1,12,12,Apu,6
1,12,12,Bart,45
1,12,12,Brockman,8
1,12,12,Chief Wiggum,8
1,12,12,Homer,27
1,12,12,Krusty,37
1,12,12,Lisa,23
1,12,12,Lou,1
1,12,12,Marge,11
1,12,12,Patty,7
1,12,12,Rev. Lovejoy,2
1,12,12,Selma,4
1,12,12,Sideshow Bob,30
1,13,13,Barney,1
1,13,13,Bart,35
1,13,13,Homer,66
1,13,13,Lisa,26
1,13,13,Marge,46
1,13,13,Moe,16
2,1,14,Bart,100
2,1,14,Edna Krabappel,36
2,1,14,Homer,22
2,1,14,Lisa,6
2,1,14,Marge,15
2,1,14,Martin Prince,24
2,1,14,Mayor Quimby,1
2,1,14,Milhouse,1
2,1,14,Mr. Burns,1
2,1,14,Otto,7
2,1,14,Smithers,1
2,2,15,Barney,1
2,2,15,Bart,9
2,2,15,Carl,3
2,2,15,Homer,92
2,2,15,Lenny,5
2,2,15,Lisa,3
2,2,15,Marge,19
2,2,15,Milhouse,1
2,2,15,Mr. Burns,29
2,2,15,Patty,3
2,2,15,Selma,3
2,2,15,Smithers,22
2,3,16,Bart,40
2,3,16,Homer,64
2,3,16,Lisa,40
2,3,16,Marge,33
2,4,17,Barney,2
2,4,17,Bart,11
2,4,17,Grampa,4
2,4,17,Homer,45
2,4,17,Lisa,10
2,4,17,Marge,20
2,4,17,Moe,2
2,4,17,Mr. Burns,78
2,4,17,Smithers,7
2,5,18,Barney,4
2,5,18,Bart,19
2,5,18,Homer,83
2,5,18,Lisa,13
2,5,18,Marge,21
2,5,18,Milhouse,4
2,5,18,Moe,5
2,5,18,Mr. Burns,18
2,5,18,Otto,1
2,5,18,Patty,3
2,5,18,Selma,2
2,5,18,Smithers,8
2,6,19,Bart,45
2,6,19,Flanders,74
2,6,19,Homer,90
2,6,19,Lisa,33
2,6,19,Marge,25
2,6,19,Rev. Lovejoy,3
2,7,20,Bart,66
2,7,20,Brockman,6
2,7,20,Grampa,10
2,7,20,Homer,38
2,7,20,Lisa,31
2,7,20,Lou,2
2,7,20,Marge,35
2,7,20,Mr. Burns,3
2,7,20,Patty,9
2,7,20,Selma,9
2,7,20,Smithers,2
2,8,21,Barney,2
2,8,21,Bart,48
2,8,21,Dr. Hibbert,11
2,8,21,Flanders,4
2,8,21,Homer,54
2,8,21,Lisa,13
2,8,21,Marge,19
2,8,21,Milhouse,7
2,8,21,Moe,1
2,8,21,Nelson,2
2,8,21,Otto,6
2,9,22,Bart,16
2,9,22,Brockman,18
2,9,22,Flanders,8
2,9,22,Homer,36
2,9,22,Krusty,13
2,9,22,Lisa,11
2,9,22,Marge,81
2,9,22,Milhouse,1
2,9,22,Nelson,1
2,10,23,Bart,23
2,10,23,Dr. Hibbert,3
2,10,23,Homer,49
2,10,23,Lenny,1
2,10,23,Lisa,4
2,10,23,Marge,41
2,10,23,Moe,3
2,10,23,Mr. Burns,42
2,10,23,Smithers,9
2,11,24,Barney,10
2,11,24,Bart,18
2,11,24,Chief Wiggum,1
2,11,24,Dr. Hibbert,10
2,11,24,Flanders,6
2,11,24,Grampa,10
2,11,24,Homer,128
2,11,24,Lisa,23
2,11,24,Lou,2
2,11,24,Marge,26
2,11,24,Moe,4
2,11,24,Mr. Burns,3
2,11,24,Smithers,2
2,12,25,Barney,11
2,12,25,Bart,10
2,12,25,Dr. Hibbert,1
2,12,25,Grampa,8
2,12,25,Homer,112
2,12,25,Lisa,8
2,12,25,Marge,66
2,12,25,Patty,5
2,12,25,Selma,3
2,13,26,Apu,7
2,13,26,Barney,5
2,13,26,Bart,26
2,13,26,Carl,2
2,13,26,Comic Book Guy,1
2,13,26,Flanders,5
2,13,26,Homer,90
2,13,26,Lenny,2
2,13,26,Lisa,23
2,13,26,Lou,2
2,13,26,Marge,24
2,13,26,Martin Prince,2
2,13,26,Milhouse,2
2,13,26,Moe,4
2,13,26,Mr. Burns,8
2,13,26,Rev. Lovejoy,5
2,13,26,Smithers,5
2,14,27,Apu,2
2,14,27,Barney,9
2,14,27,Bart,20
2,14,27,Edna Krabappel,1
2,14,27,Groundskeeper Willie,3
2,14,27,Homer,34
2,14,27,Lisa,2
2,14,27,Marge,21
2,14,27,Martin Prince,3
2,14,27,Milhouse,1
2,14,27,Moe,7
2,14,27,Patty,48
2,14,27,Rev. Lovejoy,1
2,14,27,Selma,31
2,15,28,Bart,26
2,15,28,Dr. Hibbert,2
2,15,28,Grampa,24
2,15,28,Homer,99
2,15,28,Lisa,27
2,15,28,Marge,20
2,16,29,Apu,1
2,16,29,Bart,39
2,16,29,Brockman,1
2,16,29,Dr. Hibbert,7
2,16,29,Flanders,7
2,16,29,Homer,47
2,16,29,Krusty,2
2,16,29,Lenny,2
2,16,29,Lisa,26
2,16,29,Marge,38
2,16,29,Martin Prince,1
2,16,29,Otto,2
2,17,30,Bart,15
2,17,30,Grampa,114
2,17,30,Homer,43
2,17,30,Lisa,14
2,17,30,Marge,9
2,17,30,Moe,1
2,17,30,Mr. Burns,5
2,17,30,Otto,3
2,17,30,Professor Frink,4
2,18,31,Apu,3
2,18,31,Bart,18
2,18,31,Brockman,1
2,18,31,Carl,1
2,18,31,Dr. Hibbert,1
2,18,31,Homer,51
2,18,31,Krusty,7
2,18,31,Lisa,19
2,18,31,Marge,47
2,18,31,Mr. Burns,33
2,18,31,Smithers,13
2,19,32,Bart,28
2,19,32,Edna Krabappel,15
2,19,32,Homer,47
2,19,32,Lisa,73
2,19,32,Marge,20
2,19,32,Martin Prince,5
2,19,32,Milhouse,3
2,19,32,Nelson,1
2,19,32,Ralph,3
2,20,33,Barney,5
2,20,33,Bart,32
2,20,33,Dr. Hibbert,4
2,20,33,Flanders,8
2,20,33,Grampa,21
2,20,33,Homer,92
2,20,33,Lisa,16
2,20,33,Marge,47
2,20,33,Milhouse,1
2,20,33,Moe,1
2,20,33,Nelson,4
2,20,33,Otto,2
2,20,33,Rev. Lovejoy,23
2,21,34,Apu,2
2,21,34,Barney,1
2,21,34,Bart,122
2,21,34,Homer,36
2,21,34,Jimbo,1
2,21,34,Lisa,12
2,21,34,Lou,2
2,21,34,Marge,18
2,21,34,Martin Prince,20
2,21,34,Milhouse,26
2,21,34,Nelson,2
2,21,34,Otto,2
2,21,34,Patty,3
2,21,34,Selma,3
2,22,35,Barney,2
2,22,35,Bart,29
2,22,35,Carl,3
2,22,35,Dr. Hibbert,5
2,22,35,Homer,77
2,22,35,Lenny,1
2,22,35,Lisa,15
2,22,35,Marge,31
2,22,35,Mayor Quimby,3
2,22,35,Moe,5
2,22,35,Mr. Burns,50
2,22,35,Otto,3
2,22,35,Smithers,35
3,1,36,Apu,2
3,1,36,Bart,61
3,1,36,Brockman,1
3,1,36,Carl,1
3,1,36,Chief Wiggum,2
3,1,36,Grampa,1
3,1,36,Homer,66
3,1,36,Krusty,3
3,1,36,Lenny,1
3,1,36,Lisa,17
3,1,36,Marge,15
3,1,36,Mayor Quimby,2
3,1,36,Milhouse,3
3,1,36,Moe,1
3,1,36,Mr. Burns,7
3,1,36,Otto,1
3,1,36,Smithers,5
3,2,37,Barney,1
3,2,37,Bart,22
3,2,37,Homer,54
3,2,37,Lenny,2
3,2,37,Lisa,45
3,2,37,Marge,21
3,2,37,Moe,1
3,2,37,Mr. Burns,2
3,2,37,Nelson,1
3,2,37,Smithers,1
3,3,38,Barney,4
3,3,38,Bart,24
3,3,38,Flanders,58
3,3,38,Homer,83
3,3,38,Jimbo,3
3,3,38,Lisa,15
3,3,38,Marge,13
3,3,38,Moe,3
3,3,38,Mr. Burns,13
3,3,38,Smithers,4
3,4,39,Bart,60
3,4,39,Brockman,2
3,4,39,Chief Wiggum,15
3,4,39,Edna Krabappel,5
