season,number_in_season,episode_id,character,sentence_count,image
1,1,1,Barney,9,https://img.icons8.com/doodle/48/barney-gumble.png
1,1,1,Bart,49,https://img.icons8.com/doodle/48/bart-simpson.png
1,1,1,Flanders,10,https://img.icons8.com/doodle/48/ned-flanders.png
1,1,1,Grampa,2,https://img.icons8.com/doodle/48/abraham-simpson.png
1,1,1,Homer,113,https://img.icons8.com/doodle/48/homer-simpson.png
1,1,1,Lisa,21,https://img.icons8.com/doodle/48/lisa-simpson.png
1,1,1,Marge,42,https://img.icons8.com/doodle/48/marge-simpson.png
1,1,1,Milhouse,2,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,1,1,Moe,2,https://img.icons8.com/doodle/48/bartender-mo.png
1,1,1,Mr. Burns,3,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
1,1,1,Patty,16,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
1,1,1,Selma,8,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
1,1,1,Smithers,2,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
1,2,2,Bart,81,https://img.icons8.com/doodle/48/bart-simpson.png
1,2,2,Edna Krabappel,8,https://static.simpsonswiki.com/images/1/14/Tapped_Out_Mrs._Krabappel_Icon.png
1,2,2,Homer,55,https://img.icons8.com/doodle/48/homer-simpson.png
1,2,2,Lisa,10,https://img.icons8.com/doodle/48/lisa-simpson.png
1,2,2,Marge,23,https://img.icons8.com/doodle/48/marge-simpson.png
1,2,2,Martin Prince,10,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
1,2,2,Milhouse,2,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,3,3,Bart,32,https://img.icons8.com/doodle/48/bart-simpson.png
1,3,3,Chief Wiggum,1,https://img.icons8.com/doodle/48/clancy-wiggum.png
1,3,3,Edna Krabappel,14,https://static.simpsonswiki.com/images/1/14/Tapped_Out_Mrs._Krabappel_Icon.png
1,3,3,Homer,58,https://img.icons8.com/doodle/48/homer-simpson.png
1,3,3,Lisa,11,https://img.icons8.com/doodle/48/lisa-simpson.png
1,3,3,Marge,13,https://img.icons8.com/doodle/48/marge-simpson.png
1,3,3,Moe,8,https://img.icons8.com/doodle/48/bartender-mo.png
1,3,3,Mr. Burns,13,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
1,3,3,Otto,5,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
1,3,3,Smithers,8,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
1,4,4,Barney,2,https://img.icons8.com/doodle/48/barney-gumble.png
1,4,4,Bart,42,https://img.icons8.com/doodle/48/bart-simpson.png
1,4,4,Homer,80,https://img.icons8.com/doodle/48/homer-simpson.png
1,4,4,Lisa,35,https://img.icons8.com/doodle/48/lisa-simpson.png
1,4,4,Lou,2,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
1,4,4,Marge,40,https://img.icons8.com/doodle/48/marge-simpson.png
1,4,4,Moe,4,https://img.icons8.com/doodle/48/bartender-mo.png
1,4,4,Mr. Burns,18,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
1,4,4,Smithers,9,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
1,5,5,Bart,101,https://img.icons8.com/doodle/48/bart-simpson.png
1,5,5,Grampa,19,https://img.icons8.com/doodle/48/abraham-simpson.png
1,5,5,Homer,32,https://img.icons8.com/doodle/48/homer-simpson.png
1,5,5,Lisa,28,https://img.icons8.com/doodle/48/lisa-simpson.png
1,5,5,Marge,16,https://img.icons8.com/doodle/48/marge-simpson.png
1,5,5,Milhouse,5,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,5,5,Nelson,17,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
1,5,5,Otto,4,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
1,6,6,Bart,44,https://img.icons8.com/doodle/48/bart-simpson.png
1,6,6,Homer,59,https://img.icons8.com/doodle/48/homer-simpson.png
1,6,6,Lisa,44,https://img.icons8.com/doodle/48/lisa-simpson.png
1,6,6,Marge,28,https://img.icons8.com/doodle/48/marge-simpson.png
1,6,6,Moe,4,https://img.icons8.com/doodle/48/bartender-mo.png
1,6,6,Ralph,2,https://img.icons8.com/doodle/48/ralf.png
1,7,7,Bart,37,https://img.icons8.com/doodle/48/bart-simpson.png
1,7,7,Flanders,5,https://img.icons8.com/doodle/48/ned-flanders.png
1,7,7,Homer,92,https://img.icons8.com/doodle/48/homer-simpson.png
1,7,7,Lisa,16,https://img.icons8.com/doodle/48/lisa-simpson.png
1,7,7,Marge,24,https://img.icons8.com/doodle/48/marge-simpson.png
1,8,8,Barney,3,https://img.icons8.com/doodle/48/barney-gumble.png
1,8,8,Bart,66,https://img.icons8.com/doodle/48/bart-simpson.png
1,8,8,Chief Wiggum,1,https://img.icons8.com/doodle/48/clancy-wiggum.png
1,8,8,Edna Krabappel,1,https://static.simpsonswiki.com/images/1/14/Tapped_Out_Mrs._Krabappel_Icon.png
1,8,8,Grampa,1,https://img.icons8.com/doodle/48/abraham-simpson.png
1,8,8,Homer,48,https://img.icons8.com/doodle/48/homer-simpson.png
1,8,8,Jimbo,21,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
1,8,8,Krusty,6,https://img.icons8.com/doodle/48/krusty-the-clown.png
1,8,8,Lisa,8,https://img.icons8.com/doodle/48/lisa-simpson.png
1,8,8,Marge,26,https://img.icons8.com/doodle/48/marge-simpson.png
1,8,8,Milhouse,1,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,8,8,Moe,3,https://img.icons8.com/doodle/48/bartender-mo.png
1,8,8,Mr. Burns,5,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
1,8,8,Otto,1,https://static.simpsonswiki.com/images/4/48/Tapped_Out_Conductor_Otto_Sidebar.png
1,8,8,Rev. Lovejoy,4,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
1,8,8,Smithers,2,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
1,9,9,Bart,33,https://img.icons8.com/doodle/48/bart-simpson.png
1,9,9,Homer,52,https://img.icons8.com/doodle/48/homer-simpson.png
1,9,9,Lenny,3,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
1,9,9,Lisa,25,https://img.icons8.com/doodle/48/lisa-simpson.png
1,9,9,Marge,94,https://img.icons8.com/doodle/48/marge-simpson.png
1,9,9,Patty,9,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
1,9,9,Selma,6,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
1,10,10,Barney,8,https://img.icons8.com/doodle/48/barney-gumble.png
1,10,10,Bart,40,https://img.icons8.com/doodle/48/bart-simpson.png
1,10,10,Carl,4,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
1,10,10,Homer,70,https://img.icons8.com/doodle/48/homer-simpson.png
1,10,10,Lenny,2,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
1,10,10,Lisa,9,https://img.icons8.com/doodle/48/lisa-simpson.png
1,10,10,Marge,33,https://img.icons8.com/doodle/48/marge-simpson.png
1,10,10,Martin Prince,5,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
1,10,10,Milhouse,9,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,10,10,Moe,2,https://img.icons8.com/doodle/48/bartender-mo.png
1,10,10,Mr. Burns,13,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
1,10,10,Rev. Lovejoy,1,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
1,10,10,Smithers,5,https://static.simpsonswiki.com/images/3/3a/Tapped_Out_Smithers_Icon.png
1,11,11,Agnes Skinner,7,https://static.simpsonswiki.com/images/b/b1/Tapped_Out_Agnes_Sidebar.png
1,11,11,Bart,50,https://img.icons8.com/doodle/48/bart-simpson.png
1,11,11,Homer,65,https://img.icons8.com/doodle/48/homer-simpson.png
1,11,11,Lenny,2,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
1,11,11,Lisa,15,https://img.icons8.com/doodle/48/lisa-simpson.png
1,11,11,Marge,39,https://img.icons8.com/doodle/48/marge-simpson.png
1,11,11,Milhouse,4,https://img.icons8.com/doodle/48/milhouse-van-houten.png
1,12,12,Apu,6,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
1,12,12,Bart,45,https://img.icons8.com/doodle/48/bart-simpson.png
1,12,12,Brockman,8,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
1,12,12,Chief Wiggum,8,https://img.icons8.com/doodle/48/clancy-wiggum.png
1,12,12,Homer,27,https://img.icons8.com/doodle/48/homer-simpson.png
1,12,12,Krusty,37,https://img.icons8.com/doodle/48/krusty-the-clown.png
1,12,12,Lisa,23,https://img.icons8.com/doodle/48/lisa-simpson.png
1,12,12,Lou,1,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
1,12,12,Marge,11,https://img.icons8.com/doodle/48/marge-simpson.png
1,12,12,Patty,7,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
