season,raw_character_text,word_count
1,Agnes Skinner,49.0
1,Apu Nahasapeemapetilon,101.0
1,Barney Gumble,263.0
1,Bart Simpson,4902.0
1,C. Montgomery Burns,650.0
1,Carl Carlson,30.0
1,Chief Wiggum,132.0
1,Edna Krabappel-Flanders,281.0
1,Grampa Simpson,333.0
1,Homer Simpson,8183.0
1,Jimbo Jones,174.0
1,Kent Brockman,215.0
1,Krusty the Clown,374.0
1,Lenny Leonard,41.0
1,Lisa Simpson,1883.0
1,Lou,39.0
1,Marge Simpson,3676.0
1,Martin Prince,171.0
1,Milhouse Van Houten,105.0
1,Moe Szyslak,443.0
1,Ned Flanders,84.0
1,Nelson Muntz,135.0
1,Otto Mann,61.0
1,Patty Bouvier,240.0
1,Ralph Wiggum,21.0
1,Rev. Timothy Lovejoy,171.0
1,Selma Bouvier,84.0
1,Sideshow Bob,581.0
1,Waylon Smithers,235.0
2,Apu Nahasapeemapetilon,199.0
2,Barney Gumble,423.0
2,Bart Simpson,5716.0
2,C. Montgomery Burns,3577.0
2,Carl Carlson,87.0
2,Chief Wiggum,15.0
2,Dr. Julius Hibbert,603.0
2,Edna Krabappel-Flanders,216.0
2,Grampa Simpson,1681.0
2,Groundskeeper Willie,21.0
2,Homer Simpson,14176.0
2,Jimbo Jones,4.0
2,Kent Brockman,208.0
2,Krusty the Clown,266.0
2,Lenny Leonard,112.0
2,Lisa Simpson,3882.0
2,Lou,71.0
2,Marge Simpson,6406.0
2,Martin Prince,750.0
2,Mayor Joe Quimby,92.0
2,Milhouse Van Houten,277.0
2,Moe Szyslak,391.0
2,Ned Flanders,939.0
2,Nelson Muntz,56.0
2,Otto Mann,318.0
2,Patty Bouvier,528.0
2,Professor Jonathan Frink,59.0
2,Ralph Wiggum,34.0
2,Rev. Timothy Lovejoy,549.0
2,Selma Bouvier,377.0
2,Waylon Smithers,995.0
3,Apu Nahasapeemapetilon,413.0
3,Barney Gumble,412.0
3,Bart Simpson,6320.0
3,C. Montgomery Burns,3287.0
3,Carl Carlson,159.0
3,Chief Wiggum,661.0
3,Comic Book Guy,20.0
3,Dr. Julius Hibbert,129.0
3,Edna Krabappel-Flanders,869.0
3,Fat Tony,401.0
3,Grampa Simpson,145.0
3,Groundskeeper Willie,106.0
3,Homer Simpson,12204.0
3,Jimbo Jones,26.0
3,Kent Brockman,1002.0
3,Kirk Van Houten,4.0
3,Krusty the Clown,1196.0
3,Lenny Leonard,256.0
3,Lisa Simpson,4009.0
3,Lou,189.0
3,Marge Simpson,5207.0
3,Martin Prince,401.0
3,Mayor Joe Quimby,233.0
3,Milhouse Van Houten,488.0
3,Moe Szyslak,1218.0
3,Ned Flanders,1060.0
3,Nelson Muntz,205.0
3,Otto Mann,789.0
3,Patty Bouvier,443.0
3,Professor Jonathan Frink,140.0
3,Ralph Wiggum,75.0
3,Rev. Timothy Lovejoy,170.0
3,Selma Bouvier,671.0
3,Sideshow Bob,970.0
3,Sideshow Mel,18.0
3,Waylon Smithers,1012.0
4,Apu Nahasapeemapetilon,456.0
4,Barney Gumble,554.0
4,Bart Simpson,4237.0
4,C. Montgomery Burns,1411.0
4,Carl Carlson,174.0
4,Chief Wiggum,649.0
4,Dr. Julius Hibbert,377.0
4,Edna Krabappel-Flanders,287.0
4,Gary Chalmers,172.0
4,Grampa Simpson,1264.0
4,Groundskeeper Willie,232.0
4,Homer Simpson,9231.0
4,Jimbo Jones,151.0
4,Kent Brockman,984.0
4,Kirk Van Houten,14.0
4,Krusty the Clown,1861.0
4,Lenny Leonard,124.0
4,Lisa Simpson,2914.0
4,Lou,70.0
4,Marge Simpson,4172.0
4,Martin Prince,32.0
4,Mayor Joe Quimby,478.0
4,Milhouse Van Houten,125.0
4,Moe Szyslak,380.0
4,Ned Flanders,617.0
4,Nelson Muntz,123.0
4,Otto Mann,78.0
4,Patty Bouvier,235.0
4,Professor Jonathan Frink,61.0
4,Ralph Wiggum,301.0
4,Rev. Timothy Lovejoy,328.0
4,Selma Bouvier,426.0
4,Sideshow Mel,78.0
4,Waylon Smithers,316.0
5,Agnes Skinner,42.0
5,Apu Nahasapeemapetilon,1137.0
5,Barney Gumble,347.0
5,Bart Simpson,4280.0
5,C. Montgomery Burns,2526.0
5,Carl Carlson,150.0
5,Chief Wiggum,886.0
5,Cletus Spuckler,9.0
5,Comic Book Guy,60.0
5,Dr. Julius Hibbert,220.0
5,Edna Krabappel-Flanders,354.0
5,Gary Chalmers,195.0
5,Grampa Simpson,1678.0
5,Groundskeeper Willie,254.0
5,Homer Simpson,11654.0
5,Jimbo Jones,119.0
5,Kent Brockman,1282.0
5,Kirk Van Houten,4.0
5,Krusty the Clown,636.0
5,Lenny Leonard,173.0
5,Lisa Simpson,3074.0
5,Lou,30.0
5,Marge Simpson,3679.0
5,Martin Prince,261.0
5,Mayor Joe Quimby,340.0
5,Milhouse Van Houten,482.0
5,Moe Szyslak,566.0
5,Ned Flanders,1282.0
5,Nelson Muntz,164.0
5,Otto Mann,196.0
5,Patty Bouvier,120.0
5,Professor Jonathan Frink,76.0
5,Ralph Wiggum,34.0
5,Rev. Timothy Lovejoy,238.0
5,Selma Bouvier,68.0
5,Sideshow Bob,292.0
5,Sideshow Mel,58.0
5,Waylon Smithers,831.0
6,Agnes Skinner,14.0
6,Apu Nahasapeemapetilon,267.0
6,Barney Gumble,308.0
6,Bart Simpson,6198.0
6,C. Montgomery Burns,1576.0
6,Carl Carlson,210.0
6,Chief Wiggum,746.0
6,Cletus Spuckler,12.0
6,Comic Book Guy,12.0
6,Dr. Julius Hibbert,277.0
6,Edna Krabappel-Flanders,552.0
6,Fat Tony,141.0
6,Gary Chalmers,80.0
6,Grampa Simpson,1283.0
6,Groundskeeper Willie,353.0
6,Homer Simpson,11741.0
6,Jimbo Jones,202.0
6,Kent Brockman,603.0
6,Kirk Van Houten,48.0
6,Krusty the Clown,950.0
6,Lenny Leonard,297.0
6,Lisa Simpson,5308.0
6,Lou,7.0
6,Marge Simpson,6635.0
